TitleCode,TitleName,ItemCode,ItemName,Region,Country,CountryName,Platform,ContentType,Publisher,StartTime,Points/Cost,Currency,First Week,Total Sales,eShop/PIN/POSA,Period Total,Gross income per unit (EUR) ,Estd. Net Revenue EUR,Estd. Gross revenue (USD)
HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,Australia,AU,Australia,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,9,AUD,6,6,eShop,6,5.76, € 20.16 , $30 
HACMA2TKA000002,King's Bounty II – Upgrade zur Lord's Edition,HACMA2TKA000002,King's Bounty II – Upgrade zur Lord's Edition,Europe,AT,Austria,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,5.99,EUR,1,1,eShop,1,5.99, € 3.49 , $5 
HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,Europe,BE,Belgium,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,5.99,EUR,3,3,eShop,3,5.99, € 10.48 , $16 
HACMA2TKA000002,King's Bounty II – Upgrade zur Lord's Edition,HACMA2TKA000002,King's Bounty II – Upgrade zur Lord's Edition,Europe,CH,Switzerland,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,8.4,CHF,1,1,eShop,1,7.224, € 4.21 , $6 
HACMA2TKA000002,King's Bounty II – Upgrade zur Lord's Edition,HACMA2TKA000002,King's Bounty II – Upgrade zur Lord's Edition,Europe,DE,Germany,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,5.99,EUR,16,16,eShop,16,5.99, € 55.91 , $83 
HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,Europe,ES,Spain,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,5.99,EUR,2,2,eShop,2,5.99, € 6.99 , $10 
HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,Europe,FI,Finland,Switch,Downloadable Content,KOCHMEDIA,08/23/2021,5.99,EUR,1,1,eShop,1,5.99, € 3.49 , $5 
HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,Europe,FR,France,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,5.99,EUR,3,3,eShop,3,5.99, € 10.48 , $16 
HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,Europe,GB,United Kingdom,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,5.39,GBP,3,3,eShop,3,6.12304, € 10.72 , $16 
HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000002,King's Bounty II - Lord's Edition Upgrade,Europe,RO,Romania,Switch,Downloadable Content,KOCHMEDIA,08/23/2021,5.99,EUR,1,1,eShop,1,5.99, € 3.49 , $5 
HACMA2TKA000002,King's Bounty II: ????????? ?? ??????? Lord's Edition,HACMA2TKA000002,King's Bounty II: ????????? ?? ??????? Lord's Edition,Europe,RU,Russia,Switch,Downloadable Content,KOCHMEDIA,08/23/2021,539,RUB,5,5,eShop,5,8.085, € 23.58 , $35 
HACMA2TKA000004,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000004,King's Bounty II - Lord's Edition Upgrade,Korea,KR,Korea,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,6490,KRW,15,15,eShop,15,4.63965557, € 40.60 , $61 
HACMA2TKA000006,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000006,King's Bounty II - Lord's Edition Upgrade,Americas,CA,Canada,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,7.97,CAD,9,9,eShop,9,4.95734, € 31.23 , $39 
HACMA2TKA000006,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000006,King's Bounty II - Lord's Edition Upgrade,Americas,MX,Mexico,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,122.8,MXN,1,1,eShop,1,5.23128, € 3.05 , $5 
HACMA2TKA000006,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000006,King's Bounty II - Lord's Edition Upgrade,Americas,US,United States,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,5.99,USD,25,25,eShop,25,4.8519, € 84.91 , $106 
HACMA2TKA000008,King's Bounty II - Lord's Edition Upgrade,HACMA2TKA000008,King's Bounty II - Lord's Edition Upgrade,Japan,JP,Japan,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,715,JPY,25,25,eShop,25,5.72, € 83.42 , $124 
HACMA2TKA000010,?King's Bounty II - Lord's Edition Upgrade?,HACMA2TKA000010,?King's Bounty II - Lord's Edition Upgrade?,Taiwan/Hong Kong,HK,Hong Kong,Switch,Downloadable Content,KOCHMEDIA,08/24/2021,46,HKD,3,3,eShop,3,5.0416, € 8.82 , $13 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Americas,BR,Brazil,Switch,Title,KOCHMEDIA,08/24/2021,332,BRL,1,1,eShop,1,FALSE, € -   , $-   
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Americas,CA,Canada,Switch,Title,KOCHMEDIA,07/01/2021,59.99,CAD,23,44,eShop,44,37.31378," € 1,149.26 "," $1,428 "
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Americas,MX,Mexico,Switch,Title,KOCHMEDIA,07/01/2021,999,MXN,3,7,eShop,7,42.5574, € 173.78 , $259 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Americas,US,United States,Switch,Title,KOCHMEDIA,07/01/2021,59.99,USD,89,262,eShop,262,48.5919," € 8,911.75 "," $11,076 "
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Australia,AU,Australia,Switch,Title,KOCHMEDIA,07/02/2021,74.95,AUD,4,11,eShop,11,47.968, € 307.79 , $459 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Australia,NZ,New Zealand,Switch,Title,KOCHMEDIA,07/02/2021,104.99,NZD,1,2,eShop,2,61.9441, € 72.27 , $108 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,AT,Austria,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,1,3,eShop,3,59.99, € 104.98 , $157 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,BE,Belgium,Switch,Title,KOCHMEDIA,08/24/2021,59.99,EUR,3,3,eShop,3,59.99, € 104.98 , $157 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,BG,Republic of Bulgaria,Switch,Title,KOCHMEDIA,08/23/2021,59.99,EUR,1,1,eShop,1,59.99, € 34.99 , $52 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,CH,Switzerland,Switch,Title,KOCHMEDIA,07/01/2021,62.5,CHF,1,8,eShop,8,53.75, € 250.83 , $374 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,CZ,Czech Republic,Switch,Title,KOCHMEDIA,07/01/2021,1599,CZK,1,2,eShop,2,62.361, € 72.75 , $109 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,DE,Germany,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,8,35,eShop,35,59.99," € 1,224.80 "," $1,827 "
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,ES,Spain,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,3,12,eShop,12,59.99, € 419.93 , $626 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,FI,Finland,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,1,2,eShop,2,59.99, € 69.99 , $104 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,FR,France,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,8,32,eShop,32,59.99," € 1,119.81 "," $1,670 "
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,GB,United Kingdom,Switch,Title,KOCHMEDIA,07/01/2021,54.99,GBP,2,11,eShop,11,62.46864, € 400.84 , $598 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,HU,Republic of Hungary,Switch,Title,KOCHMEDIA,08/24/2021,59.99,EUR,1,1,eShop,1,59.99, € 34.99 , $52 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,IE,Ireland,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,1,1,eShop,1,59.99, € 34.99 , $52 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,IT,Italy,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,5,16,eShop,16,59.99, € 559.91 , $835 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,LT,Republic of Lithuania,Switch,Title,KOCHMEDIA,08/23/2021,59.99,EUR,1,1,eShop,1,59.99, € 34.99 , $52 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,LV,Republic of Latvia,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,1,1,eShop,1,59.99, € 34.99 , $52 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,NL,Netherlands,Switch,Title,KOCHMEDIA,08/24/2021,59.99,EUR,2,2,eShop,2,59.99, € 69.99 , $104 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,NO,Norway,Switch,Title,KOCHMEDIA,08/24/2021,659,NOK,1,1,eShop,1,67.218, € 39.21 , $58 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,PL,Poland,Switch,Title,KOCHMEDIA,08/24/2021,269.99,PLN,3,3,eShop,3,63.98763, € 111.98 , $167 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,PT,Portugal,Switch,Title,KOCHMEDIA,07/01/2021,59.99,EUR,1,1,eShop,1,59.99, € 34.99 , $52 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,RO,Romania,Switch,Title,KOCHMEDIA,08/23/2021,59.99,EUR,1,1,eShop,1,59.99, € 34.99 , $52 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,RU,Russia,Switch,Title,KOCHMEDIA,07/01/2021,3999,RUB,14,48,eShop,48,59.985," € 1,679.58 "," $2,505 "
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,SE,Sweden,Switch,Title,KOCHMEDIA,08/24/2021,639,SEK,1,1,eShop,1,64.539, € 37.65 , $56 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Europe,ZA,South Africa,Switch,Title,KOCHMEDIA,07/01/2021,1069,ZAR,1,1,eShop,1,67.347, € 39.29 , $59 
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Japan,JP,Japan,Switch,Title,KOCHMEDIA,07/02/2021,7150,JPY,12,73,eShop,73,57.2," € 2,435.77 "," $3,633 "
HACPA2TKA,King's Bounty II,HACPA2TKA,King's Bounty II,Korea,KR,Korea,Switch,Title,KOCHMEDIA,07/02/2021,64900,KRW,5,16,eShop,16,46.3965557, € 433.03 , $646 
HACPA2TKA,?King's Bounty II?,HACPA2TKA,?King's Bounty II?,Taiwan/Hong Kong,HK,Hong Kong,Switch,Title,KOCHMEDIA,07/02/2021,464,HKD,5,12,eShop,12,50.8544, € 355.98 , $531 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Australia,AU,Australia,Switch,Bundle,KOCHMEDIA,07/02/2021,82.95,AUD,14,45,eShop,45,53.088," € 1,393.56 "," $2,078 "
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Australia,NZ,New Zealand,Switch,Bundle,KOCHMEDIA,07/02/2021,112.95,NZD,1,8,eShop,8,66.6405, € 310.99 , $464 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,AT,Austria,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,3,5,eShop,5,64.99, € 189.55 , $283 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,BE,Belgium,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,3,8,eShop,8,64.99, € 303.29 , $452 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,CH,Switzerland,Switch,Bundle,KOCHMEDIA,07/01/2021,69.9,CHF,1,7,eShop,7,60.114, € 245.47 , $366 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,CZ,Czech Republic,Switch,Bundle,KOCHMEDIA,08/24/2021,1709,CZK,1,1,eShop,1,66.651, € 38.88 , $58 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,DE,Germany,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,27,76,eShop,76,64.99," € 2,881.22 "," $4,297 "
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,DK,Denmark,Switch,Bundle,KOCHMEDIA,07/01/2021,484,DKK,2,5,eShop,5,64.856, € 189.16 , $282 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,ES,Spain,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,5,10,eShop,10,64.99, € 379.11 , $565 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,FI,Finland,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,1,3,eShop,3,64.99, € 113.73 , $170 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,FR,France,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,14,37,eShop,37,64.99," € 1,402.70 "," $2,092 "
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,GB,United Kingdom,Switch,Bundle,KOCHMEDIA,07/01/2021,59.99,GBP,22,47,eShop,47,68.14864," € 1,868.41 "," $2,787 "
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,GR,Greece,Switch,Bundle,KOCHMEDIA,08/23/2021,64.99,EUR,1,1,eShop,1,64.99, € 37.91 , $57 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,HR,Republic of Croatia,Switch,Bundle,KOCHMEDIA,08/24/2021,64.99,EUR,1,1,eShop,1,64.99, € 37.91 , $57 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,HU,Republic of Hungary,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,1,1,eShop,1,64.99, € 37.91 , $57 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,IT,Italy,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,3,16,eShop,16,64.99, € 606.57 , $905 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,LU,Luxembourg,Switch,Bundle,KOCHMEDIA,08/24/2021,64.99,EUR,3,3,eShop,3,64.99, € 113.73 , $170 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,LV,Republic of Latvia,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,1,1,eShop,1,64.99, € 37.91 , $57 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,NL,Netherlands,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,3,11,eShop,11,64.99, € 417.02 , $622 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,NO,Norway,Switch,Bundle,KOCHMEDIA,07/01/2021,699,NOK,4,9,eShop,9,71.298, € 374.31 , $558 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,PL,Poland,Switch,Bundle,KOCHMEDIA,07/01/2021,289.99,PLN,3,9,eShop,9,68.72763, € 360.82 , $538 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,PT,Portugal,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,1,1,eShop,1,64.99, € 37.91 , $57 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,RO,Romania,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,EUR,1,1,eShop,1,64.99, € 37.91 , $57 
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,RU,Russia,Switch,Bundle,KOCHMEDIA,07/01/2021,4279,RUB,30,79,eShop,79,64.185," € 2,957.86 "," $4,411 "
HACYA2TKG,King's Bounty II Lord's Edition,HACYA2TKG,King's Bounty II Lord's Edition,Europe,SE,Sweden,Switch,Bundle,KOCHMEDIA,07/01/2021,679,SEK,1,4,eShop,4,68.579, € 160.02 , $239 
HACYA2TKH,King's Bounty II Lord's Edition,HACYA2TKH,King's Bounty II Lord's Edition,Americas,BR,Brazil,Switch,Bundle,KOCHMEDIA,08/24/2021,348.9,BRL,2,2,eShop,2,FALSE, € -   , $-   
HACYA2TKH,King's Bounty II Lord's Edition,HACYA2TKH,King's Bounty II Lord's Edition,Americas,CA,Canada,Switch,Bundle,KOCHMEDIA,07/01/2021,78.99,CAD,19,36,eShop,36,49.13178," € 1,238.12 "," $1,539 "
HACYA2TKH,King's Bounty II Lord's Edition,HACYA2TKH,King's Bounty II Lord's Edition,Americas,MX,Mexico,Switch,Bundle,KOCHMEDIA,07/01/2021,1199,MXN,2,8,eShop,8,51.0774, € 238.36 , $355 
HACYA2TKH,King's Bounty II Lord's Edition,HACYA2TKH,King's Bounty II Lord's Edition,Americas,US,United States,Switch,Bundle,KOCHMEDIA,07/01/2021,64.99,USD,229,545,eShop,545,52.6419," € 20,082.88 "," $24,960 "
HACYA2TKJ,?King's Bounty II Lord's Edition?,HACYA2TKJ,?King's Bounty II Lord's Edition?,Taiwan/Hong Kong,HK,Hong Kong,Switch,Bundle,KOCHMEDIA,07/02/2021,499,HKD,49,150,eShop,150,54.6904," € 4,785.41 "," $7,137 "
HACYA2TKK,King's Bounty II Lord's Edition,HACYA2TKK,King's Bounty II Lord's Edition,Korea,KR,Korea,Switch,Bundle,KOCHMEDIA,07/02/2021,70300,KRW,37,88,eShop,88,50.2569779," € 2,579.86 "," $3,848 "
HACYA2TKL,King's Bounty II Lord's Edition,HACYA2TKL,King's Bounty II Lord's Edition,Japan,JP,Japan,Switch,Bundle,KOCHMEDIA,07/02/2021,7700,JPY,72,287,eShop,287,61.6," € 10,312.87 "," $15,381 "
